,year,title,authors,country,location,study_area,rewilding_area,area_certain,area_all,m_e,keywords,interest,social-subgroup,control,sites,duration,methods_named,methods,response_variables_named,response_variables,social-subgroup-ev,notes
2,2022,Monitoring rewilding from space: The Knepp estate as a case study,"to Bühne, H.S., Ross, B., Sandom, C.J. Pettorelli, N",UK,"Knepp Estate West Sussex, England, and lies 50.9834° N, 0.3547° W",1400,NA,1400,1400,M,"Rewilding 
Satellite remote sensing 
Land cover
Environmental monitoring",Plants,NA,YES,1,20,"Satellite remote sensing
Satellite imagery
Land cover classification
Primary productivity analyses",Remote sensing,"Land cover class accuracy
% area cover
% area cover change
Normalized Difference Vegetation Index (NDVI)
Change in vegetation dynamic parameters",Habitat structure,NA,"Presenting satellite remote sensing as the option to monitor
Control - inclusion of non-rewilded neighbouring area"
5,2022,"Expert-based assessment of rewilding indicates progress at site-level, yet challenges for upscaling","Segar, J., Pereira, H.M., Filgueiras, R., Karamanlidis, A.A., Saavedra, D. Fernández, N.","Italy
Portugal
Poland-Germany
Romania
Bulgaria
Ukraine-Romania-Moldova
Croatia","Central Apennines
Greater Côa Valley
Oder Delta
southern Carpathians
Rhodope Mountains
Danube Delta
Velebit Mountains",38520,NA,NA,38520,ME,"Delphi technique
Expert elicitation
Monitoring
Restoration
Rewilding
Rewilding interventions","Ecosystem
Social","Knowledge
Socio-economic
Human-nature 
",NO,7,1,"Delphi technique
Questionnaires
Interviews
Workshops",Consultation,"Rewilding score
Rewilding progress and threat factors","Ecosystem
Social","Socio-economic
Human-nature","Delphi technique
Range of baseline years (between 2011 and 2014-2020), but study conducted in 1 year
Areas:
Central Apennines 7550 ha
Greater Côa Valley 4470 ha
Oder Delta 7830 ha
southern Carpathians 1380 ha
Rhodope Mountains 1350 ha
Danube Delta 6390 ha
Velebit Mountains 9550 ha
No control, but multiple sites used to compare trajectories.
Classified as ME - monitoring by going before and after, E because linked to “improved” or “declined” rewilding scores"
7,2021,Rewilding and gazetting the Ibera National Park: Using an asset approach to evaluate project success,"Pettersson, H.L. de Carvalho, S.H.C.",Argentina,Iberá Natural Reserve,160000,NA,NA,160000,E,"Asset-based community management
Conservation land trust
Iberá
Keystone species
Protected areas
Rewilding
Social–ecological systems",Social,"Socio-economic
Human-nature
Agency",NO,1,1,Interviews,Consultation,Local stakeholder perceptions,Social,Human-nature,Use of an existing framework to engage stakeholders and determine value added by rewilding
8,2018,Measuring rewilding progress,"Torres, A., Fernández, N., Zu Ermgassen, S., Helmer, W., Revilla, E., Saavedra, D., Perino, A., Mimet, A., Rey-Benayas, J.M., Selva, N. Schepers, F.","Netherlands
Switzerland
Argentina","Millingerwaard
Swiss National Park
Iberá",1677000,NA,NA,1677000,ME,"Biodiversity
Ecological Processes
Ecosystem integrity
Ecosystem management
Monitoring
Restoration",Ecosystem,NA,NO,3,1,"Questionnaires
Interviews",Consultation,"Ecological integrity
Human forcing",Ecosystem,NA,"Presenting a conceptual framework and rewilding score
No control, but 3 sites used to compare trajectories.
3 = number of case studies, as is number of sampling units.
Areas:
Netherlands Millingerwaard 700 ha
Swill National Park 17, 000 ha
Iberá 150, 000 ha
Time: 
Netherlands Millingerwaard 1990 - 2017 (28 years)
Swill National Park 1914 - 2017 (103)
Iberá 1999 - 2017 (19)"
9,2022,Long-term effects of rewilding on species composition: 22 years of raptor monitoring in the Chernobyl Exclusion Zone,"Dombrovski, V.C., Zhurauliou, D.V. Ashton‐Butt, A.",Belarus,Belarusian Chernobyl Exclusion Zone (CEZ),14700,216200,14700,14700,M,"Biodiversity
Birds
Conservation
Endangered species
Passive restoration
Predators",Birds,NA,NO,1,22,"Breeding bird surveys 
Satellite data
Analysis of previous raptor abundance data","Fieldwork
Remote sensing","Raptor composition
Density of breeding raptors
Change in raptor breeding pair abundance
Land cover change Land cover change
Raptor community change
Raptor composition by habitat type
Correlation plot of raptor species","Distribution
Habitat structure",NA,Case study for passive rewilding
10,2021,Enhancing monitoring of rewilding progress through wildlife tracking and remote sensing,"Mata, J.C., Buitenwerf, R. Svenning, J.C.",Argentina,"Rinco ́n del Socorro (28.6598 ̊ S, 57.4344 ̊ W), Corrientes, Argentina",12000,NA,12000,12000,M,NA,Mammals,NA,NO,1,5,"GPS wildlife tracking
Satellite data","Remote sensing
Wildlife tracking","Habitat classification
Predicted habitat selection
Realized and potential occupancy of reintroduced species
Area and proportion of realized and potential occupancy
Realized and potential faunal complexity score
Ecological integrity score","Habitat structure
Behaviour
Distribution
Ecosystem",NA,
17,2023,Rewilding giant tortoises engineers plant communities at local to landscape scales,"Tapia Aguilera, W. Gibbs, J.P.",Galapagos Islands ,"Espanola Island (1.38°S, 89.68°W)",1650,NA,1650,1650,M,"Trophic rewilding
Ecosystem engineer
Restoration
Cactus
Chelonoidis hoodensis
Espanola Island
Galapagos
Giant tortoise
Plant community","Plants
Reptiles",NA,YES,1,15,"Herbivore exclosure experiment
Vegetation measures
Censuses Satellite imagery","Remote sensing
Experiment
Fieldwork","Tortoise feces
Cactus cladodes
Cactus fruits
Grass cover
Forb cover
Woody plant regeneration ","Distribution
Habitat structure",NA,"Time: 8 years plant community composition
15 years woody plant cover"
19,2023,Long-term monitoring of mammal communities in the Peneda-Gerês National Park using camera-trap data,"Zuleger, A.M., Perino, A., Wolf, F., Wheeler, H.C. Pereira, H.M.",Portugal,"Castro Laboreiro 
Lamas de Mouro",1600,NA,1600,1600,M,"Long-term monitoring
Occupancy
Density
Camera traps
Mammal
Portugal",Mammals,NA,NO,1,6,Camera traps,Wildlife tracking,"Detection probability Occupancy probability Density Occupancy vs density",Distribution,NA,
27,2019,Using lidar to assess the development of structural diversity in forests undergoing passive rewilding in temperate Northern Europe,"Thers, H., Bøcher, P.K. Svenning, J.C.",Denmark,"Vorsø, an island in Horsens Fjord in eastern Jutland + 3 managed forests",73.12,NA,73.12,73.12,E,"Disturbances
Lidar
Natural regeneration
Passive rewilding
Vegetation structure",Plants,NA,YES,4,1,Lidar,Remote sensing,PCA values for lidar-derived cell values,Habitat structure,NA,"Control = comparison of spontaneously regenerated vs planted and managed forests
Area:
Vorso 47.27 ha
Tran 4.51 ha
Floj 0.92 ha
Sten 20.42 ha
Time:
Space for time. Differences in regeneration time 28- to 78-year old spontaneously regenerated forests."
43,2018,From exploration to establishment: Activity changes of the first collared peccary (Pecan tajacu) group reintroduced in South America,"Hurtado, C.M., Beck, H. Thebpanya, P.",Argentina,"Ibera Nature Reserve (28°320 S, 57°100 W)",NA,NA,NA,NA,M,"Monitoring
Activity patterns
Post-release
Reintroduction biology
Activity budget",Mammals,NA,NO,1,2,"Radio telemetry Camera traps",Wildlife tracking,"% Behaviours
Daily activity pattern",Behaviour,NA,
