,Continent,Organisation,Operating in,Response,Provided,Document / Page,area (ha),start (year),duration,define_success (Y/N),define-notes (direct extract),define-classification,SMT,monitor (Y/N),monitor-notes (direct extract),monitor-classification,evaluate (Y/N),evaluate-notes (direct extract),evaluate-classification,Notes
1,Africa,African Conservation Foundation,"Cameroon, Mozambique, Kenya, Uganda, Nigeria, DR Congo, Chad, Malawi, South Africa, Angola",NO,NA,"https://africanconservation.org/project/saving-cross-river-gorillas-from-extinction/
https://africanconservation.org/project/chimpanzee-conservation/
https://africanconservation.org/project/protecting-african-forest-elephants/
https://africanconservation.org/project/miombo-forest-restoration/
https://africanconservation.org/project/kahuzi-biega-itombwe-wildlife-corridor/
https://africanconservation.org/project/rewilding-lake-chad/",245728100,2001,24,YES,"A thriving Africa where biodiversity flourishes, ecosystems are resilient, and communities are empowered to build sustainable futures in harmony with nature. We envision a continent with vast wilderness areas, healthy ecosystems, and abundant wildlife coexisting with empowered local communities.","Ecosystem
Diversity
Social",NO,NO,NA,NA,YES,"Our impact in numbers:
24 countries, 50+ organisations, 25+ protected areas, 800+ community rangers, NGO staff, and students trained, 120+ international volunteers placed, 20M ha vulnerable wildlife habitat protected","Internal
Area","Multiple projects within one organisation
This is combined info from 6 out of 7 projects listed on website. 
Area = 68000 + 2,000,000 +  260,000 + 100 +  243,400,000"
2,Africa,Cheetah Conservation Fund,Namibia,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://cheetah.org/ccf-blog/visual-annual-report/visual-annual-report-2023/
https://cheetah.org/resource-library/2023-annual-report/",58067,1990,35,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
Documents - CCF’s mission is to be the internationally recognized center of excellence in the conservation of cheetahs and their ecosystems. CCF will work with all stakeholders to develop best practices in research, education, and land use to benefit all species, including people.
","Species
Knowledge sharing",MT,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.Documents - population dynamics, medical, health and reproduction, genetics, ecology, ecosystem.","Wildlife tracking
DNA methods
Fieldwork",YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
",Species,
3,Africa,Conserve Global,"Zambia, Cameroon, Mozambique, Namibia",YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"Impact report 2023 https://conserveglobal.earth/wp-content/uploads/Impact-Report-2023_MASTER_web.pdf
https://conserveglobal.earth/q2-report-april-june-2024/",1008520,2020,5,YES,"Our mission is to safeguard large ecosystems in rural Africa. We believe conservation and any response to the climate crisis must promote equity, agency, and prosperous livelihoods for the communities who are the true stewards of these environments.
By 2030, our goal is to improve the management of 30,000km2 across 14 focal landscapes and the dream is for communities to embrace conservation as their preferred land use, with communities emerging as the stewards and champions of conservation landscapes all over Africa.","Social
Habitat structure",SMT,YES,"Comprehensive socio-economic baseline assessment of communities, ecological baseline surveys (land cover, vegetation mapping), biodiversity monitoring (camera trapping, acoustic monitors). ","Fieldwork
Wildlife tracking",YES,"area covered by active landscapes, people living in landscapes, households surveyed, countries, staff employed, baseline studies, jobs created, mammal and bird species found, partnerships, people attending community meetings, tourism plan created, people trained, number of donors, increase in investment, income","Internal
Social
Area
Diversity
Financial","Area - Nsumbu-Mweru (134,000 acres = 54,228), Kunene (297,000 acres = 120,192), Futi (24,710 = 10,000), Faro (2,036,395 = 824,100) = total 1,008,520ha"
4,Africa,Endangered Wildlife Trust,South Africa,NO,NA,https://ewt.org/wp-content/uploads/2024/08/EWT_INTEGRATED-REPORT_2023-2024_mc5.pdf,NA,1973,52,YES,"To achieve this, we focus on three main strategic imperatives: Saving Species, Conserving Habitats, and Benefitting People.
5 x high-level goals - each broken down into measurable indicators
1. IMPROVED KNOWLEDGE OF SPECIES AND HABITATS AND THE THREATS THEY FACE
2. TARGETED INTERVENTIONS REDUCE THE THREATS TO SPECIES AND HABITATS
3. FORMAL PROTECTION OF PRIORITY HABITATS
4. CONSERVATION ACTIONS LEAD TO THRIVING SPECIES AND RESILIENT HABITATS
5. CONSERVATION ACTIONS AND IMPACTS DRIVE MEANINGFUL CHANGE TO THE BENEFIT OF BUSINESSES AND PEOPLE","Species
Ecosystem
Social
Other (legal)",SM,YES,"monitoring our impact enables us to apply adaptive management, which ensures that our actions are efficient and remain relevant in a changing world.
Loads mentioned- remote cameras, species counts, population monitoring, GPS behavioural tracking, wildlife interatctions with wind energy infrastructure, driving surveys, 
Planned genetic monitoring, eDNA, 3D modelling","Fieldwork
Wildlife tracking
Aspirational (remote sensing, DNA methods)",YES,"Our targeted conservation work has national, regional and global impact, and our achievements contribute to multiple conservation-related frameworks
Research outputs (publications, technical reports etc), datasets shared, and citations. hectares protected, target populations and habitats, conservation status, human wellbeing","Area
Academic
Social
Species",
5,Africa,Enonkishu Conservancy,Tanzania,NO,NA,https://www.enonkishu.org/,NA,NA,NA,YES,"Vision - Community led conservation, looking after the heritage, people and the natural resources of an increasingly fragile ecosystem on the edge of the Mara Serengeti Ecosystem. 
Objectives: Regenerative grazing protecting livestock, wildlife and their habitats, Enabling partnerships and improving livelihoods, Local leadership and engagement, maintaining Maasai heritage and traditional values of pastoralists",Social,NO,YES,"Wildlife monitoring is carried out on a quarterly basis and this includes vehicle transects, foot patrols, waterhole and hilltop surveys and a camera trap grid.
Fourteen vegetation transects are monitored quarterly and scored according to nineteen parameters. Livestock is counted monthly and attended to daily. Adhering to an adaptable but stringent grazing plan has improved vegetation, livestock, and wildlife abundance in Enonkishu.","Fieldwork
Wildlife tracking",NO,NA,NA,
6,Africa,Ferncliffe,South Africa,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://ferncliffe.org/progress/

https://ferncliffe.org/wp-content/uploads/2024/08/Ferncliffe-FW-Annual-Report-2023-to-2024-Final.pdf",250,2021,4,YES,"PROJECT GOALS
10,000 trees planted in our lifetimes
250 hectares restored, with partners 
3,000 trees grown in the nursery by end of 2026
Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Habitat structure
Diversity",SMT,YES,Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.,"Fieldwork
Remote sensing
Aspirational (additional fieldwork)",YES,"tree survival rate
Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Species
Aspirational (social)","Highlighted monitoring as a key challenge in annual report: Monitoring and reference sites and systems need further time and attention, and more baseline studies to assess the current biodiversity and measure change are desirable."
7,Africa,Global Humane Conservation Fund of Africa,South Africa,NO,NA,"Project pages
https://globalhumane.africa/2024/03/26/cheetah-rewilding/
https://globalhumane.africa/2024/04/30/water-for-wildlife-zimbabwe-2024/
https://globalhumane.africa/2024/04/30/water-for-wildlife-eastern-cape-2023/",NA,2024,1,YES,"Our long-term vision aims to rewild captive cheetahs for successful release into protected areas while empowering local communities by:
Managing rewilding programs in collaboration with partners.
Contributing to rewilding protocol.
Facilitating research for conservation.
Releasing cheetahs into protected areas.
Contributing to genetic diversification.
Empowering local community members as Cheetah Champions.
Our goal is clear: to provide sustainable water access for Hwange’s diverse wildlife, particularly elephants and buffalo. Through proactive maintenance and monitoring, we aim to safeguard this precious ecosystem and its inhabitants.","Species
Knowledge sharing
Social
Ecosystem",NO,YES,"Cheetah tracking

Our project involves daily monitoring of water availability, road upkeep, and enhancements to concrete troughs. Three pans feature dual boreholes and solar pumping systems, while two have single boreholes with solar arrays. Additionally, two pans are equipped with battery systems for nighttime pumping, aligning with wildlife drinking patterns. Daily monitoring serves a dual purpose, ensuring any animals in need of assistance are identified and rescued.
Amidst challenges like the recent harsh rainy season, we remain committed to efficient water management. Our efforts include constant monitoring of borehole replenishment rates to meet varying elephant needs. Flow meters track daily water volumes, helping us swiftly address any issues.","Wildlife tracking
Fieldwork",NO,NA,NA,
8,Africa,Mali Elephant Project,Mali,NO,NA,"https://wild.org/mali-elephants/
",3237485,1974,51,YES,"MISSION:
To find ways for humans and elephants to thrive together.
","Social
Species",NO,NO,NA,NA,YES,"Impact: 8,000,000+ square acres of elephant habitat with enhanced protection & restored native forage & habitat.
1 Biosphere reserve requested by local communities to protect their elephants.
250+ elephants roaming free in the deserts of Mali because of local efforts","Area
Species",
9,Africa,MKAAJI MPYA asbl,Democratic Republic of Congo,NO,NA,"https://mkaajimpya.org/save-the-aquatic-giants-project-hippopotamus-conservation-in-the-ruzizi-plain-democratic-republic-of-congo/
https://mkaajimpya.org/wp-content/uploads/2023/03/Challenges-of-biodiversity-conservation-in-rural-areas-DR.Congo-2022-Gervais-Muderhwa_MKAAJI-MPYA-asbl.pdf

https://mkaajimpya.org/wp-content/uploads/2025/07/Eng_MKAAJI-MPYA_Five-Year-Strategic-Plan-2025%E2%80%932030.pdf",NA,2016,9,YES,"To contribute to improving the socio-economic life of people living in rural areas by promoting sustainable agriculture, conservation and environmental sustainability by placing women at the center of all actions and promoting their rights.
Goals: Improving the living conditions of people living in rural areas through adaptation to modern and sustainable farming, promotion of gender and peace, conservation and protection of the environment.
Vision: To become a regional bridging organization through which citizen actions are facilitated with a view to improving the living conditions of people living in rural areas.

Support 5,000 women and youth in local initiatives for conservation and sustainable valorization of biodiversity; Strengthen the protection of wildlife, both inside and outside protected areas, including aquatic biodiversity, in partnership with local communities; Restore at least 50,000 hectares of critical ecosystems (forests, wetlands, savannas) by mobilizing nature-based approaches and community governance of resources; Promote and defend the rights of Indigenous Peoples, particularly in the implementation of the Kunming–Montreal Global Biodiversity Framework, grounded in the recognition of their knowledge, territories, and role in conservation; Strengthen the participation of women and youth in biodiversity governance at local, national, and international levels by facilitating their involvement in the implementation of the Convention on Biological Diversity (CBD) and its protocols; Support the sustainable livelihoods of Indigenous and local communities by defending their land, cultural, and political rights, as well as their equitable access to natural resources; Promote scientific research and indigenous knowledge on biodiversity, including the documentation of species, habitats, and local conservation practices. Our interventions will specifically align with Targets 1, 2, 3, 4, 5, 8, 10, 11, 13, 14, 21, and 22 of the Kunming–Montreal Global Biodiversity Framework, as well as the objectives outlined in the Democratic Republic of the Congo’s National Biodiversity Strategy and Action Plan (NBSAP).","Social
Habitat structure
Knowledge sharing
",SMT,NO,NA,NA,NO,NA,NA,
10,Africa,Peace Parks Foundation,"Zambia, Malawi, Mozambique, Zimbabwe",NO,NA,"https://www.peaceparks.org/wp-content/uploads/2024/08/Peace_Parks_Annual_Review_2023-1.pdf
https://www.peaceparks.org/rewilding-africa/",67599000,1997,28,YES,"Our Vision 2050 is to secure 980,000 km2 of functional transboundary landscapes where people and nature thrive.","Habitat structure
Social",SMT,YES,"A full aerial census was undertaken in Zinave, Limpopo, Banhine, and Maputo national parks in 2023
Foot patrols and rangers (counter poaching)","Remote sensing
Wildlife tracking
Fieldwork",YES,"Our values are squarely placed on the Eight Pillars of Positive Peace developed by the Institute for Economics and Peace. Positive Peace is defined as the attitudes, institutions and structures that create and sustain peaceful societies.
THE PEACE PARKS FRAMEWORK IS BASED UPON THREE GLOBAL FRAMEWORKS Taking all of these global frameworks into account, Peace Parks works tirelessly towards nine impact areas (sustainable development goals, global biodiversity framework, paris agreement)
Absolutely loads of impact statements: area, unique species, wildlife populations, carbon, projects planned and implemented, jobs and individuals, livestock care, tourism, carbon credits (financial), training and education","External
Financial
Area
Internal
Species
Diversity
Social",
